Price,Close,High,Low,Open,Volume
Ticker,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS
Date,,,,,
2018-12-11,254.752685546875,258.3951306435042,247.51163225272248,252.7778555320999,9994368
2018-12-12,268.1814880371094,272.96497046751085,255.84979681956332,258.04404908930195,10299827
2018-12-13,266.0311279296875,274.58871461930835,264.6706980821931,270.77071394670935,7666679
2018-12-14,280.20599365234375,292.62547753057146,267.87430245193167,267.87430245193167,22730782
2018-12-17,276.6513366699219,283.6729386176987,274.54484716960854,280.2060191267417,6809035
2018-12-18,278.9333190917969,281.4786528401329,273.4915700532878,275.7735852152633,6272518
2018-12-19,283.2341003417969,284.3751080830885,279.1527805595345,280.4254476125036,5789644
2018-12-20,277.8362121582031,282.2247166392739,275.5980635792832,278.2311603239394,5987582
2018-12-21,270.24407958984375,285.03334159336595,268.2253829666561,280.86425933077635,12363968
2018-12-24,271.2973327636719,274.105985252798,267.04048740979783,271.9117329256513,5225655
2018-12-26,281.25927734375,283.4974262599885,265.59232408988737,270.50743677268923,8367166
2018-12-27,277.9678649902344,284.11177772176245,275.5980866377509,283.6729331809248,8764732
2018-12-28,277.8362121582031,281.7419757967685,276.03690808340406,278.14339736710144,5184819
2018-12-31,274.2815246582031,281.65423780463186,273.05275399376524,279.98659287724195,4210832
2019-01-01,280.4254455566406,282.6196980553307,274.98369579349713,277.30960760289946,6117146
2019-01-02,274.4131774902344,281.74199412146214,271.29733970041656,278.14341545774107,6218991
2019-01-03,275.15924072265625,276.91464859717325,270.28799501584655,274.2815219254309,6230813
2019-01-04,283.0146484375,284.98947846607535,274.2376392971349,274.2376392971349,11361086
2019-01-07,285.2088928222656,287.7980932093917,282.7074256713976,284.72615198332977,5511088
2019-01-08,288.9830322265625,291.17728471730294,283.71683813675924,284.15568269092046,7194973
2019-01-09,293.5909423828125,296.5751208411951,287.27150389918273,292.44993472048577,8018192
2019-01-10,296.04852294921875,297.2334269907948,291.747781045674,295.3902561349804,5748158
